"filename", "language", "JSON", "Markdown", "Python", "CSV", "YAML", "HTML", "CMake", "C++", "pip requirements", "PostCSS", "TypeScript", "XML", "JavaScript", "Properties", "Dart", "Ignore", "JSON with Comments", "Ruby", "Swift", "Docker", "comment", "blank", "total"
"/Users/daoduyluu/Healthy Nutrition/healthy_nutrition/ios/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"/Users/daoduyluu/Healthy Nutrition/healthy_nutrition/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/daoduyluu/Healthy Nutrition/healthy_nutrition/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"/Users/daoduyluu/Healthy Nutrition/healthy_nutrition/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/daoduyluu/Healthy Nutrition/healthy_nutrition/ios/Runner/Base.lproj/LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 38
"/Users/daoduyluu/Healthy Nutrition/healthy_nutrition/ios/Runner/Base.lproj/Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 27
"/Users/daoduyluu/Healthy Nutrition/healthy_nutrition/ios/Runner/Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/daoduyluu/Healthy Nutrition/healthy_nutrition/ios/RunnerTests/RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 4, 13
"/Users/daoduyluu/Healthy Nutrition/healthy_nutrition/lib/constants.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 2, 6, 44
"/Users/daoduyluu/Healthy Nutrition/healthy_nutrition/lib/extension.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 7, 35
"/Users/daoduyluu/Healthy Nutrition/healthy_nutrition/lib/file_manager.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/daoduyluu/Healthy Nutrition/healthy_nutrition/lib/machine_learning.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/daoduyluu/Healthy Nutrition/healthy_nutrition/lib/main.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 3, 10, 78
"/Users/daoduyluu/Healthy Nutrition/healthy_nutrition/lib/models.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 152, 0, 0, 0, 0, 0, 3, 11, 166
"/Users/daoduyluu/Healthy Nutrition/healthy_nutrition/lib/request.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 296, 0, 0, 0, 0, 0, 0, 67, 363
"/Users/daoduyluu/Healthy Nutrition/healthy_nutrition/lib/screens/analysis.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 184, 0, 0, 0, 0, 0, 0, 10, 194
"/Users/daoduyluu/Healthy Nutrition/healthy_nutrition/lib/screens/external_screen/edit_info.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 187, 0, 0, 0, 0, 0, 1, 11, 199
"/Users/daoduyluu/Healthy Nutrition/healthy_nutrition/lib/screens/external_screen/foodSelection.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 378, 0, 0, 0, 0, 0, 1, 13, 392
"/Users/daoduyluu/Healthy Nutrition/healthy_nutrition/lib/screens/external_screen/goal_edit.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 4, 33
